State,Survey Year,Age,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
Alabama,2019,26+,304.0,417.0,242.0,51.0,1536.0,818.0,808.0,9.0,100.0,9.0,41.0,139.0,77.0,25.0,167.0,227.0,9.44,12.93,7.49,1.58,47.64,25.37,25.05,0.51,3.11,0.29,1.26,4.31,2.38,0.78,5.18,7.03
Alaska,2013,12+,75.0,114.0,69.0,9.0,306.0,128.0,131.0,,,,,,,,,,12.93,19.69,11.89,1.58,53.01,22.1,22.72,,,,,,,,,
Alaska,2013,12-17,6.0,9.0,5.0,0.0,6.0,3.0,4.0,,,,,,,,,,9.7,15.61,8.73,0.65,10.47,5.78,6.44,,,,,,,,,
Alaska,2013,18+,69.0,104.0,63.0,9.0,299.0,124.0,127.0,,,,,,,,,,13.3,20.16,12.26,1.68,57.93,23.99,24.6,,,,,,,,,
Alaska,2013,18-25,19.0,29.0,17.0,4.0,47.0,30.0,28.0,,,,,,,,,,23.38,35.71,21.06,4.44,56.44,36.04,33.58,,,,,,,,,
Alaska,2013,26+,50.0,75.0,46.0,5.0,253.0,94.0,100.0,,,,,,,,,,11.4,17.24,10.6,1.16,58.21,21.72,22.91,,,,,,,,,
Alaska,2014,12+,77.0,114.0,69.0,9.0,313.0,133.0,127.0,,,,,,,,,,13.23,19.6,11.85,1.54,54.02,22.93,22.0,,,,,,,,,
Alaska,2014,12-17,6.0,10.0,6.0,0.0,6.0,3.0,4.0,,,,,,,,,,9.77,17.3,9.19,0.51,9.22,5.0,6.15,,,,,,,,,
Alaska,2014,18+,71.0,103.0,63.0,9.0,307.0,130.0,124.0,,,,,,,,,,13.63,19.86,12.16,1.65,59.15,24.99,23.81,,,,,,,,,
Alaska,2014,18-25,20.0,30.0,18.0,3.0,50.0,32.0,28.0,,,,,,,,,,24.44,36.47,21.3,3.84,59.65,38.71,34.04,,,,,,,,,
Alaska,2014,26+,50.0,73.0,45.0,5.0,257.0,97.0,95.0,,,,,,,,,,11.58,16.7,10.42,1.24,59.05,22.38,21.88,,,,,,,,,
Alaska,2015,12+,,127.0,83.0,12.0,319.0,,143.0,8.0,,7.0,,,,,43.0,,,21.92,14.38,2.0,54.98,,24.64,3.54,,1.23,,,,,7.43,
