State,Survey Year,Age,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
District Of Columbia,2015,26+,,88.0,41.0,13.0,320.0,,90.0,1.0,,3.0,,,,,34.0,,,19.71,9.14,2.88,71.86,,20.21,0.78,,0.73,,,,,7.65,
District Of Columbia,2016,12+,98.0,143.0,81.0,20.0,397.0,219.0,106.0,8.0,28.0,3.0,,26.0,18.0,3.0,49.0,60.0,16.88,24.68,14.08,3.46,68.65,37.9,18.36,3.66,4.79,0.44,,4.5,3.09,0.55,8.53,10.33
District Of Columbia,2016,12-17,3.0,4.0,2.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,,1.0,1.0,0.0,1.0,2.0,10.38,13.58,8.07,0.18,9.7,5.56,2.05,6.85,2.18,0.02,,2.89,3.4,0.45,1.88,5.72
District Of Columbia,2016,18+,94.0,138.0,79.0,20.0,394.0,217.0,105.0,6.0,27.0,3.0,,25.0,17.0,3.0,49.0,58.0,17.24,25.3,14.41,3.64,71.98,39.72,19.28,3.24,4.94,0.47,,4.59,3.07,0.56,8.91,10.59
District Of Columbia,2016,18-25,33.0,48.0,30.0,6.0,69.0,50.0,20.0,5.0,9.0,0.0,,6.0,6.0,1.0,12.0,17.0,35.22,51.0,32.39,6.75,73.63,53.48,21.72,14.69,10.02,0.23,,6.89,6.14,0.68,13.17,18.19
District Of Columbia,2016,26+,61.0,91.0,48.0,14.0,325.0,167.0,85.0,2.0,18.0,2.0,,19.0,11.0,2.0,36.0,41.0,13.53,19.99,10.7,3.0,71.64,36.88,18.79,0.99,3.89,0.51,,4.12,2.43,0.54,8.03,9.02
District Of Columbia,2017,12+,117.0,154.0,101.0,25.0,391.0,217.0,110.0,9.0,31.0,2.0,1.0,26.0,23.0,3.0,53.0,66.0,19.92,26.35,17.17,4.34,66.79,37.01,18.7,3.99,5.36,0.37,0.22,4.39,3.93,0.55,9.08,11.21
District Of Columbia,2017,12-17,3.0,5.0,3.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,11.2,14.6,8.26,0.22,8.42,4.84,1.78,7.35,3.23,0.01,0.07,3.91,3.68,0.45,1.97,5.14
District Of Columbia,2017,18+,113.0,150.0,98.0,25.0,389.0,215.0,109.0,7.0,30.0,2.0,1.0,24.0,22.0,3.0,53.0,64.0,20.41,27.01,17.67,4.57,70.08,38.83,19.65,3.54,5.48,0.39,0.23,4.42,3.94,0.56,9.48,11.55
District Of Columbia,2017,18-25,33.0,48.0,32.0,6.0,63.0,48.0,20.0,5.0,9.0,0.0,0.0,6.0,8.0,1.0,12.0,17.0,36.86,53.2,34.85,7.0,69.71,53.01,22.42,14.57,9.57,0.32,0.11,6.86,8.36,0.66,13.62,19.23
District Of Columbia,2017,26+,80.0,102.0,66.0,19.0,326.0,167.0,89.0,2.0,22.0,2.0,1.0,18.0,14.0,2.0,40.0,47.0,17.21,21.9,14.32,4.1,70.17,36.07,19.12,1.36,4.68,0.4,0.25,3.94,3.08,0.53,8.67,10.05
District Of Columbia,2018,12+,118.0,157.0,99.0,27.0,396.0,219.0,113.0,8.0,32.0,2.0,2.0,25.0,29.0,4.0,60.0,75.0,19.91,26.47,16.63,4.51,66.67,36.83,19.01,4.17,5.36,0.41,0.38,4.2,4.83,0.73,10.1,12.6
District Of Columbia,2018,12-17,3.0,5.0,3.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,10.51,16.41,8.47,0.26,8.74,4.34,2.43,9.03,2.75,0.02,0.06,3.78,4.22,0.47,1.89,5.42
District Of Columbia,2018,18+,115.0,152.0,96.0,27.0,393.0,217.0,112.0,6.0,31.0,2.0,2.0,24.0,27.0,4.0,59.0,73.0,20.44,27.03,17.09,4.75,69.93,38.66,19.94,3.51,5.5,0.43,0.39,4.22,4.86,0.75,10.57,13.01
District Of Columbia,2018,18-25,31.0,45.0,28.0,6.0,62.0,47.0,19.0,4.0,7.0,0.0,0.0,5.0,9.0,1.0,12.0,16.0,35.08,51.93,32.49,7.4,70.8,53.39,21.48,13.31,8.37,0.36,0.27,5.3,9.83,0.62,13.67,18.8
District Of Columbia,2018,26+,84.0,106.0,68.0,20.0,331.0,170.0,93.0,2.0,24.0,2.0,2.0,19.0,19.0,4.0,47.0,57.0,17.75,22.44,14.25,4.26,69.78,35.95,19.66,1.53,4.98,0.45,0.42,4.02,3.95,0.77,9.99,11.94
District Of Columbia,2019,12+,114.0,164.0,98.0,24.0,394.0,208.0,97.0,8.0,32.0,4.0,2.0,25.0,30.0,6.0,54.0,71.0,19.06,27.42,16.39,3.95,65.97,34.8,16.28,3.96,5.29,0.65,0.39,4.16,4.99,0.97,9.0,11.94
District Of Columbia,2019,12-17,3.0,6.0,3.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,10.56,18.01,8.99,0.21,9.26,4.32,1.7,9.5,1.8,0.01,0.07,2.5,4.64,0.44,1.24,5.57
District Of Columbia,2019,18+,111.0,158.0,95.0,24.0,391.0,207.0,97.0,6.0,31.0,4.0,2.0,24.0,28.0,6.0,53.0,70.0,19.54,27.95,16.8,4.16,69.17,36.52,17.1,3.22,5.48,0.69,0.4,4.26,5.01,1.0,9.44,12.3
District Of Columbia,2019,18-25,29.0,43.0,27.0,6.0,61.0,43.0,14.0,4.0,7.0,0.0,0.0,4.0,8.0,0.0,10.0,15.0,33.35,49.84,30.73,6.45,70.56,50.26,16.6,11.37,7.71,0.32,0.34,4.36,8.92,0.51,11.86,17.51
District Of Columbia,2019,26+,82.0,115.0,69.0,18.0,330.0,163.0,82.0,2.0,24.0,4.0,2.0,20.0,21.0,5.0,43.0,54.0,17.06,24.01,14.3,3.75,68.93,34.05,17.19,1.5,5.08,0.75,0.41,4.24,4.31,1.09,9.0,11.36
Florida,2013,12+,1423.0,1885.0,1153.0,300.0,8540.0,3424.0,3330.0,,,,,,,,,,8.63,11.43,7.0,1.82,51.78,20.76,20.2,,,,,,,,,
Florida,2013,12-17,131.0,189.0,104.0,10.0,177.0,88.0,69.0,,,,,,,,,,9.42,13.64,7.52,0.69,12.79,6.35,4.95,,,,,,,,,
Florida,2013,18+,1292.0,1696.0,1049.0,291.0,8362.0,3336.0,3261.0,,,,,,,,,,8.55,11.23,6.95,1.93,55.36,22.08,21.6,,,,,,,,,
Florida,2013,18-25,431.0,632.0,377.0,102.0,1151.0,687.0,553.0,,,,,,,,,,21.85,32.06,19.09,5.15,58.36,34.85,28.04,,,,,,,,,
Florida,2013,26+,861.0,1063.0,673.0,189.0,7211.0,2648.0,2708.0,,,,,,,,,,6.56,8.1,5.12,1.44,54.91,20.16,20.62,,,,,,,,,
Florida,2014,12+,1552.0,1990.0,1270.0,331.0,8917.0,3506.0,3465.0,,,,,,,,,,9.26,11.87,7.58,1.98,53.21,20.92,20.68,,,,,,,,,
Florida,2014,12-17,127.0,196.0,104.0,10.0,170.0,78.0,61.0,,,,,,,,,,9.14,14.09,7.51,0.73,12.26,5.63,4.42,,,,,,,,,
Florida,2014,18+,1425.0,1794.0,1166.0,321.0,8747.0,3428.0,3404.0,,,,,,,,,,9.27,11.67,7.59,2.09,56.91,22.3,22.16,,,,,,,,,
Florida,2014,18-25,460.0,666.0,402.0,110.0,1155.0,665.0,534.0,,,,,,,,,,23.23,33.64,20.32,5.53,58.29,33.58,26.97,,,,,,,,,
Florida,2014,26+,964.0,1128.0,764.0,211.0,7592.0,2763.0,2869.0,,,,,,,,,,7.2,8.42,5.7,1.58,56.71,20.64,21.43,,,,,,,,,
Florida,2015,12+,,2152.0,1330.0,325.0,9369.0,,3226.0,167.0,,38.0,,,,,1009.0,,,12.59,7.78,1.9,54.83,,18.89,1.67,,0.22,,,,,5.91,
Florida,2015,12-17,,189.0,95.0,9.0,150.0,,50.0,69.0,,1.0,,,,,38.0,,,13.49,6.78,0.65,10.72,,3.56,5.57,,0.07,,,,,2.69,
Florida,2015,18+,,1964.0,1235.0,316.0,9219.0,,3176.0,98.0,,37.0,,,,,972.0,,,12.51,7.87,2.02,58.77,,20.26,1.11,,0.24,,,,,6.19,
Florida,2015,18-25,,652.0,412.0,117.0,1168.0,,470.0,76.0,,12.0,,,,,204.0,,,32.88,20.74,5.91,58.85,,23.66,7.39,,0.6,,,,,10.3,
Florida,2015,26+,,1311.0,823.0,199.0,8051.0,,2707.0,22.0,,25.0,,,,,767.0,,,9.57,6.01,1.45,58.76,,19.75,0.28,,0.18,,,,,5.6,
Florida,2016,12+,1696.0,2275.0,1331.0,283.0,9301.0,4410.0,2892.0,171.0,595.0,41.0,,706.0,427.0,117.0,980.0,1237.0,9.75,13.07,7.65,1.63,53.43,25.34,16.62,1.66,3.42,0.24,,4.06,2.45,0.67,5.63,7.11
Florida,2016,12-17,121.0,179.0,99.0,6.0,129.0,69.0,41.0,70.0,40.0,3.0,,48.0,47.0,8.0,31.0,60.0,8.58,12.72,7.03,0.45,9.15,4.93,2.93,5.62,2.86,0.22,,3.42,3.31,0.6,2.2,4.3
Florida,2016,18+,1575.0,2096.0,1232.0,277.0,9172.0,4341.0,2851.0,101.0,555.0,38.0,,658.0,381.0,108.0,949.0,1176.0,9.85,13.1,7.7,1.73,57.33,27.14,17.82,1.12,3.47,0.24,,4.11,2.38,0.68,5.93,7.35
Florida,2016,18-25,431.0,664.0,391.0,105.0,1134.0,735.0,401.0,75.0,125.0,11.0,,126.0,136.0,20.0,196.0,291.0,21.84,33.66,19.82,5.35,57.5,37.28,20.36,7.31,6.35,0.58,,6.4,6.9,1.04,9.94,14.76
Florida,2016,26+,1145.0,1432.0,842.0,171.0,8038.0,3606.0,2450.0,26.0,430.0,27.0,,532.0,244.0,88.0,753.0,885.0,8.16,10.21,6.0,1.22,57.3,25.7,17.46,0.32,3.06,0.19,,3.79,1.74,0.62,5.36,6.31
Florida,2017,12+,1836.0,2425.0,1532.0,346.0,9182.0,4370.0,2956.0,179.0,563.0,51.0,84.0,741.0,481.0,111.0,937.0,1231.0,10.36,13.69,8.65,1.96,51.8,24.66,16.68,1.69,3.18,0.29,0.47,4.18,2.71,0.63,5.29,6.95
Florida,2017,12-17,126.0,191.0,106.0,6.0,140.0,72.0,39.0,72.0,36.0,2.0,2.0,49.0,51.0,8.0,29.0,64.0,8.89,13.46,7.48,0.45,9.86,5.11,2.76,5.7,2.54,0.14,0.15,3.44,3.62,0.54,2.03,4.54
Florida,2017,18+,1710.0,2235.0,1426.0,340.0,9042.0,4298.0,2917.0,107.0,527.0,49.0,82.0,693.0,429.0,103.0,908.0,1166.0,10.49,13.71,8.75,2.09,55.44,26.36,17.89,1.15,3.23,0.3,0.5,4.25,2.63,0.63,5.57,7.16
Florida,2017,18-25,476.0,701.0,439.0,122.0,1106.0,697.0,374.0,77.0,124.0,12.0,15.0,129.0,141.0,19.0,195.0,285.0,24.3,35.77,22.39,6.22,56.43,35.56,19.08,7.73,6.34,0.63,0.75,6.58,7.19,0.97,9.95,14.56
Florida,2017,26+,1234.0,1534.0,988.0,218.0,7936.0,3601.0,2543.0,30.0,403.0,37.0,67.0,564.0,288.0,84.0,713.0,881.0,8.6,10.69,6.88,1.52,55.3,25.09,17.72,0.37,2.81,0.26,0.47,3.93,2.01,0.59,4.97,6.14
Florida,2018,12+,1931.0,2587.0,1674.0,361.0,9157.0,4130.0,2948.0,184.0,569.0,52.0,83.0,772.0,522.0,144.0,816.0,1171.0,10.71,14.34,9.28,2.0,50.74,22.89,16.34,1.72,3.16,0.29,0.46,4.28,2.89,0.8,4.52,6.49
Florida,2018,12-17,119.0,186.0,101.0,7.0,145.0,74.0,41.0,72.0,36.0,1.0,2.0,43.0,49.0,6.0,22.0,62.0,8.35,13.01,7.06,0.48,10.12,5.17,2.85,5.51,2.49,0.06,0.15,3.03,3.4,0.43,1.55,4.34
Florida,2018,18+,1812.0,2400.0,1573.0,354.0,9012.0,4056.0,2907.0,112.0,534.0,51.0,81.0,729.0,473.0,138.0,794.0,1109.0,10.91,14.45,9.47,2.13,54.24,24.42,17.5,1.2,3.21,0.3,0.49,4.39,2.85,0.83,4.78,6.68
Florida,2018,18-25,481.0,678.0,449.0,119.0,1028.0,634.0,331.0,82.0,118.0,11.0,11.0,114.0,149.0,19.0,162.0,268.0,24.51,34.58,22.88,6.08,52.42,32.3,16.87,7.75,6.0,0.56,0.59,5.81,7.59,0.94,8.28,13.66
Florida,2018,26+,1331.0,1722.0,1124.0,235.0,7984.0,3423.0,2576.0,29.0,416.0,40.0,70.0,615.0,324.0,119.0,632.0,841.0,9.08,11.75,7.67,1.6,54.48,23.35,17.58,0.38,2.84,0.27,0.48,4.19,2.21,0.81,4.31,5.74
Florida,2019,12+,2093.0,2705.0,1848.0,315.0,9298.0,4086.0,2830.0,191.0,559.0,45.0,76.0,675.0,459.0,137.0,721.0,1062.0,11.45,14.8,10.11,1.72,50.84,22.34,15.48,1.77,3.06,0.24,0.41,3.69,2.51,0.75,3.94,5.81
Florida,2019,12-17,114.0,174.0,93.0,5.0,131.0,60.0,30.0,71.0,40.0,0.0,2.0,34.0,45.0,5.0,18.0,56.0,7.9,12.11,6.47,0.36,9.1,4.19,2.1,5.28,2.75,0.02,0.12,2.4,3.11,0.37,1.26,3.86
Florida,2019,18+,1979.0,2531.0,1755.0,310.0,9167.0,4025.0,2800.0,120.0,519.0,44.0,74.0,640.0,414.0,131.0,703.0,1007.0,11.75,15.03,10.42,1.84,54.4,23.89,16.62,1.29,3.08,0.26,0.44,3.8,2.46,0.78,4.17,5.98
Florida,2019,18-25,454.0,641.0,420.0,99.0,970.0,586.0,276.0,85.0,108.0,8.0,11.0,99.0,133.0,15.0,139.0,241.0,23.2,32.76,21.45,5.07,49.56,29.94,14.09,7.48,5.52,0.4,0.55,5.04,6.8,0.77,7.12,12.32
Florida,2019,26+,1525.0,1890.0,1335.0,211.0,8198.0,3439.0,2524.0,35.0,411.0,36.0,63.0,542.0,281.0,116.0,564.0,766.0,10.24,12.69,8.96,1.41,55.03,23.09,16.94,0.48,2.76,0.24,0.42,3.64,1.89,0.78,3.78,5.14
Georgia,2013,12+,771.0,925.0,624.0,147.0,3810.0,1598.0,1751.0,,,,,,,,,,9.53,11.44,7.71,1.82,47.11,19.76,21.65,,,,,,,,,
Georgia,2013,12-17,79.0,105.0,59.0,4.0,94.0,53.0,50.0,,,,,,,,,,9.46,12.62,7.14,0.54,11.25,6.42,6.05,,,,,,,,,
Georgia,2013,18+,692.0,820.0,564.0,143.0,3716.0,1545.0,1701.0,,,,,,,,,,9.54,11.3,7.77,1.97,51.22,21.29,23.44,,,,,,,,,
Georgia,2013,18-25,222.0,303.0,199.0,37.0,582.0,337.0,331.0,,,,,,,,,,20.15,27.51,18.13,3.4,52.86,30.67,30.09,,,,,,,,,
Georgia,2013,26+,470.0,518.0,365.0,106.0,3135.0,1207.0,1370.0,,,,,,,,,,7.64,8.41,5.93,1.71,50.92,19.62,22.25,,,,,,,,,
Georgia,2014,12+,794.0,963.0,636.0,118.0,3980.0,1709.0,1689.0,,,,,,,,,,9.7,11.75,7.76,1.44,48.62,20.87,20.63,,,,,,,,,
Georgia,2014,12-17,70.0,94.0,51.0,4.0,89.0,45.0,36.0,,,,,,,,,,8.37,11.19,6.06,0.47,10.6,5.4,4.27,,,,,,,,,
Georgia,2014,18+,724.0,869.0,585.0,114.0,3891.0,1663.0,1653.0,,,,,,,,,,9.85,11.82,7.96,1.55,52.95,22.63,22.49,,,,,,,,,
Georgia,2014,18-25,218.0,308.0,195.0,33.0,596.0,359.0,302.0,,,,,,,,,,19.7,27.78,17.64,2.96,53.79,32.39,27.22,,,,,,,,,
Georgia,2014,26+,506.0,561.0,390.0,81.0,3295.0,1304.0,1352.0,,,,,,,,,,8.1,8.99,6.24,1.3,52.8,20.9,21.66,,,,,,,,,
Georgia,2015,12+,,1052.0,646.0,143.0,4058.0,,1691.0,93.0,,12.0,,,,,455.0,,,12.67,7.79,1.72,48.9,,20.37,1.94,,0.15,,,,,5.48,
Georgia,2015,12-17,,99.0,59.0,4.0,76.0,,32.0,39.0,,0.0,,,,,18.0,,,11.68,6.92,0.51,8.93,,3.76,5.17,,0.06,,,,,2.18,
Georgia,2015,18+,,953.0,588.0,138.0,3983.0,,1659.0,54.0,,12.0,,,,,437.0,,,12.79,7.89,1.86,53.43,,22.26,1.34,,0.16,,,,,5.86,
Georgia,2015,18-25,,327.0,207.0,43.0,614.0,,297.0,44.0,,4.0,,,,,118.0,,,29.38,18.59,3.85,55.06,,26.61,7.58,,0.38,,,,,10.55,
Georgia,2015,26+,,625.0,381.0,95.0,3369.0,,1363.0,9.0,,8.0,,,,,319.0,,,9.87,6.0,1.51,53.15,,21.5,0.28,,0.12,,,,,5.03,
Georgia,2016,12+,791.0,1048.0,607.0,160.0,3859.0,1812.0,1659.0,91.0,297.0,14.0,,345.0,213.0,61.0,377.0,526.0,9.4,12.46,7.22,1.9,45.88,21.54,19.72,1.76,3.53,0.17,,4.1,2.54,0.72,4.48,6.25
Georgia,2016,12-17,67.0,93.0,55.0,3.0,59.0,33.0,32.0,36.0,22.0,0.0,,30.0,22.0,5.0,15.0,32.0,7.88,10.9,6.4,0.36,6.9,3.83,3.73,4.62,2.55,0.03,,3.49,2.62,0.58,1.73,3.74
Georgia,2016,18+,724.0,955.0,552.0,157.0,3800.0,1779.0,1627.0,55.0,275.0,14.0,,315.0,191.0,56.0,362.0,494.0,9.58,12.64,7.31,2.08,50.3,23.55,21.53,1.25,3.64,0.18,,4.17,2.53,0.74,4.79,6.54
Georgia,2016,18-25,230.0,338.0,201.0,51.0,599.0,376.0,280.0,43.0,77.0,4.0,,78.0,64.0,10.0,97.0,137.0,20.71,30.4,18.12,4.61,53.9,33.79,25.15,7.07,6.93,0.35,,6.98,5.8,0.87,8.76,12.36
Georgia,2016,26+,493.0,617.0,351.0,106.0,3201.0,1404.0,1347.0,12.0,198.0,10.0,,237.0,126.0,46.0,265.0,356.0,7.66,9.57,5.45,1.64,49.67,21.78,20.91,0.29,3.07,0.15,,3.68,1.96,0.71,4.11,5.53
Georgia,2017,12+,711.0,993.0,574.0,148.0,3817.0,1757.0,1611.0,91.0,262.0,17.0,46.0,308.0,204.0,53.0,377.0,512.0,8.34,11.64,6.74,1.74,44.78,20.61,18.9,1.67,3.08,0.19,0.54,3.61,2.39,0.62,4.42,6.0
Georgia,2017,12-17,57.0,90.0,46.0,3.0,67.0,30.0,30.0,36.0,20.0,0.0,1.0,24.0,21.0,4.0,11.0,27.0,6.57,10.39,5.39,0.34,7.76,3.52,3.43,4.47,2.27,0.02,0.17,2.74,2.43,0.48,1.27,3.18
Georgia,2017,18+,655.0,903.0,528.0,145.0,3750.0,1727.0,1582.0,55.0,243.0,16.0,45.0,284.0,183.0,49.0,366.0,484.0,8.54,11.78,6.89,1.89,48.94,22.54,20.64,1.18,3.17,0.21,0.59,3.71,2.39,0.64,4.78,6.32
Georgia,2017,18-25,224.0,331.0,203.0,49.0,561.0,347.0,258.0,40.0,61.0,4.0,7.0,72.0,67.0,10.0,87.0,128.0,20.23,29.91,18.38,4.45,50.71,31.39,23.29,6.33,5.52,0.37,0.59,6.47,6.06,0.87,7.83,11.59
Georgia,2017,26+,431.0,572.0,325.0,96.0,3189.0,1380.0,1324.0,14.0,182.0,12.0,38.0,213.0,116.0,39.0,279.0,356.0,6.57,8.73,4.95,1.46,48.65,21.05,20.2,0.33,2.77,0.19,0.59,3.24,1.77,0.6,4.26,5.43
Georgia,2018,12+,821.0,1166.0,710.0,157.0,4060.0,1864.0,1534.0,96.0,264.0,14.0,44.0,317.0,239.0,48.0,389.0,554.0,9.51,13.5,8.23,1.82,47.03,21.59,17.77,1.84,3.06,0.17,0.5,3.67,2.77,0.55,4.5,6.41
Georgia,2018,12-17,60.0,101.0,52.0,3.0,72.0,37.0,24.0,42.0,18.0,0.0,2.0,24.0,21.0,3.0,12.0,28.0,6.89,11.61,6.05,0.34,8.34,4.28,2.72,5.3,2.07,0.03,0.19,2.82,2.47,0.33,1.33,3.2
Georgia,2018,18+,761.0,1065.0,658.0,154.0,3988.0,1827.0,1510.0,53.0,246.0,14.0,42.0,292.0,218.0,45.0,377.0,526.0,9.8,13.71,8.47,1.98,51.35,23.53,19.44,1.22,3.17,0.18,0.54,3.76,2.8,0.58,4.86,6.77
Georgia,2018,18-25,240.0,342.0,223.0,51.0,528.0,316.0,224.0,40.0,61.0,4.0,7.0,77.0,81.0,10.0,89.0,142.0,21.74,30.91,20.18,4.64,47.78,28.63,20.28,6.31,5.55,0.35,0.6,6.99,7.37,0.93,8.03,12.84
Georgia,2018,26+,521.0,724.0,435.0,103.0,3460.0,1511.0,1286.0,13.0,185.0,10.0,35.0,215.0,136.0,34.0,289.0,384.0,7.82,10.86,6.53,1.54,51.94,22.68,19.31,0.35,2.77,0.15,0.53,3.22,2.04,0.52,4.33,5.77
Georgia,2019,12+,899.0,1310.0,804.0,125.0,4125.0,1851.0,1432.0,106.0,244.0,14.0,48.0,307.0,218.0,46.0,397.0,549.0,10.29,15.0,9.2,1.43,47.24,21.19,16.4,1.98,2.79,0.16,0.55,3.52,2.5,0.52,4.55,6.28
Georgia,2019,12-17,59.0,97.0,52.0,2.0,63.0,35.0,19.0,39.0,17.0,0.0,1.0,23.0,22.0,3.0,12.0,30.0,6.8,11.22,6.04,0.25,7.26,3.99,2.21,4.93,1.91,0.02,0.14,2.6,2.53,0.37,1.36,3.45
Georgia,2019,18+,840.0,1212.0,751.0,123.0,4062.0,1816.0,1413.0,67.0,227.0,14.0,47.0,284.0,196.0,43.0,385.0,519.0,10.68,15.42,9.55,1.56,51.65,23.09,17.97,1.46,2.89,0.18,0.59,3.62,2.49,0.54,4.9,6.6
Georgia,2019,18-25,232.0,340.0,217.0,38.0,518.0,304.0,168.0,45.0,48.0,2.0,6.0,58.0,72.0,8.0,87.0,135.0,20.97,30.67,19.56,3.41,46.8,27.49,15.17,6.75,4.34,0.23,0.57,5.21,6.5,0.68,7.85,12.17
Georgia,2019,26+,608.0,873.0,535.0,85.0,3544.0,1512.0,1245.0,22.0,179.0,11.0,40.0,227.0,124.0,35.0,298.0,384.0,9.0,12.92,7.91,1.26,52.45,22.37,18.43,0.53,2.66,0.17,0.6,3.36,1.84,0.52,4.42,5.68
Hawaii,2013,12+,117.0,151.0,98.0,18.0,568.0,261.0,195.0,,,,,,,,,,10.3,13.37,8.61,1.61,50.15,23.02,17.17,,,,,,,,,
Hawaii,2013,12-17,11.0,15.0,9.0,1.0,11.0,6.0,5.0,,,,,,,,,,10.9,15.33,9.55,0.66,11.22,6.19,5.4,,,,,,,,,
Hawaii,2013,18+,106.0,137.0,88.0,18.0,557.0,255.0,189.0,,,,,,,,,,10.24,13.19,8.52,1.7,53.8,24.6,18.27,,,,,,,,,
Hawaii,2013,18-25,32.0,44.0,26.0,6.0,80.0,55.0,37.0,,,,,,,,,,22.78,31.27,18.84,4.39,57.41,39.21,26.59,,,,,,,,,
Hawaii,2013,26+,74.0,93.0,62.0,11.0,477.0,200.0,152.0,,,,,,,,,,8.28,10.35,6.91,1.27,53.23,22.31,16.96,,,,,,,,,
Hawaii,2014,12+,110.0,144.0,90.0,18.0,566.0,279.0,195.0,,,,,,,,,,9.67,12.58,7.9,1.55,49.57,24.43,17.07,,,,,,,,,
Hawaii,2014,12-17,9.0,13.0,7.0,0.0,11.0,6.0,4.0,,,,,,,,,,9.51,13.9,7.65,0.49,11.2,5.9,4.51,,,,,,,,,
Hawaii,2014,18+,101.0,130.0,83.0,17.0,556.0,273.0,191.0,,,,,,,,,,9.68,12.46,7.92,1.65,53.13,26.15,18.24,,,,,,,,,
Hawaii,2014,18-25,26.0,38.0,22.0,6.0,83.0,59.0,37.0,,,,,,,,,,18.44,27.32,15.87,4.24,59.13,41.76,26.3,,,,,,,,,
Hawaii,2014,26+,75.0,92.0,60.0,11.0,472.0,215.0,154.0,,,,,,,,,,8.31,10.13,6.68,1.24,52.2,23.71,16.97,,,,,,,,,
Hawaii,2015,12+,,147.0,92.0,22.0,538.0,,191.0,12.0,,3.0,,,,,62.0,,,12.72,7.95,1.89,46.6,,16.53,2.04,,0.22,,,,,5.37,
Hawaii,2015,12-17,,13.0,6.0,1.0,10.0,,3.0,5.0,,0.0,,,,,2.0,,,13.77,6.15,0.76,10.55,,3.13,6.31,,0.1,,,,,2.48,
Hawaii,2015,18+,,133.0,86.0,21.0,527.0,,188.0,8.0,,2.0,,,,,60.0,,,12.62,8.11,1.99,49.91,,17.76,1.42,,0.23,,,,,5.64,
Hawaii,2015,18-25,,38.0,23.0,7.0,78.0,,34.0,5.0,,1.0,,,,,15.0,,,27.21,16.09,5.21,55.52,,23.98,6.99,,0.42,,,,,10.67,
Hawaii,2015,26+,,95.0,63.0,14.0,450.0,,154.0,3.0,,2.0,,,,,45.0,,,10.37,6.88,1.5,49.04,,16.79,0.59,,0.2,,,,,4.86,
Hawaii,2016,12+,119.0,151.0,95.0,23.0,509.0,239.0,172.0,12.0,37.0,3.0,,45.0,31.0,6.0,58.0,81.0,10.29,13.05,8.18,1.98,43.98,20.61,14.86,1.96,3.21,0.24,,3.87,2.67,0.53,5.01,6.99
Hawaii,2016,12-17,8.0,13.0,6.0,1.0,9.0,5.0,3.0,5.0,3.0,0.0,,3.0,3.0,0.0,2.0,4.0,8.4,13.38,6.63,0.84,9.1,4.89,2.98,6.56,3.11,0.01,,3.16,3.25,0.43,2.35,4.28
Hawaii,2016,18+,111.0,138.0,88.0,22.0,501.0,234.0,169.0,7.0,34.0,3.0,,42.0,28.0,6.0,56.0,77.0,10.46,13.02,8.32,2.08,47.15,22.04,15.93,1.31,3.22,0.26,,3.93,2.61,0.54,5.25,7.23
Hawaii,2016,18-25,28.0,38.0,25.0,7.0,70.0,46.0,31.0,5.0,10.0,1.0,,10.0,10.0,1.0,13.0,20.0,20.93,28.07,18.66,5.01,52.01,33.73,22.86,8.25,7.38,0.72,,7.01,7.54,0.84,9.86,14.98
Hawaii,2016,26+,83.0,100.0,63.0,15.0,430.0,188.0,138.0,2.0,24.0,2.0,,32.0,18.0,5.0,42.0,56.0,8.92,10.82,6.81,1.65,46.44,20.32,14.92,0.42,2.61,0.2,,3.48,1.89,0.5,4.58,6.1
Hawaii,2017,12+,111.0,152.0,95.0,22.0,523.0,237.0,158.0,12.0,31.0,3.0,9.0,39.0,27.0,5.0,61.0,78.0,9.6,13.14,8.17,1.88,45.13,20.44,13.62,1.93,2.67,0.24,0.75,3.32,2.31,0.47,5.23,6.77
Hawaii,2017,12-17,7.0,11.0,6.0,1.0,8.0,4.0,3.0,4.0,2.0,0.0,0.0,3.0,3.0,1.0,2.0,4.0,7.62,11.43,6.54,0.58,8.13,4.42,2.63,5.87,2.5,0.05,0.35,2.66,2.89,0.54,2.15,3.93
