State,Age,Year,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
UNITED STATES,17-Dec,2014,,,,,,,,,,,,,,,,,9.11,13.28,7.22,0.6,11.55,6.16,5.24,,,,,,,,,
UNITED STATES,17-Dec,2018,,,,,,,,,,,,,,,,,7.96,12.45,6.56,0.48,9.43,4.97,2.93,5.5,2.39,0.05,0.18,2.93,2.85,0.41,1.69,3.83
UNITED STATES,17-Dec,2019,,,,,,,,,,,,,,,,,8.37,12.84,7.02,0.42,9.19,4.78,2.5,5.7,2.37,0.02,0.17,2.53,3.16,0.38,1.64,4.08
UNITED STATES,12+,2017,,,,,,,,,,,,,,,,,10.9,14.5,9.23,2.03,51.21,24.37,18.47,2.03,3.38,0.34,0.56,4.17,2.76,0.63,5.46,7.35
NORTHEAST REGION,12+,2013,4530,6281,3709,912,27304,11496,9561,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED STATES,12+,2016,,,,,,,,,,,,,,,,,10.36,13.71,8.6,1.84,51.21,24.58,19.23,1.96,3.42,0.33,,4.46,2.81,0.71,5.73,7.62
UNITED STATES,18-25,2014,,,,,,,,,,,,,,,,,21.75,31.78,19.32,4.51,59.6,37.82,29.49,,,,,,,,,
UNITED STATES,18-25,2018,,,,,,,,,,,,,,,,,24.04,34.8,22.12,5.99,55.73,35.89,20.73,8.32,6.56,0.54,0.95,6.32,7.48,0.86,10.05,14.92
UNITED STATES,18-25,2019,,,,,,,,,,,,,,,,,24.4,35.09,22.54,5.54,54.72,34.58,18.34,8.39,6.07,0.36,0.81,5.33,7.54,0.65,9.67,14.59
UNITED STATES,17-Dec,2017,,,,,,,,,,,,,,,,,7.88,12.19,6.46,0.53,9.54,5.06,3.29,5.22,2.43,0.05,0.16,3.31,3.07,0.5,1.87,4.13
