State,Age,Year,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
GEORGIA,17-Dec,2016,67,93,55,3,59,33,32,36,22,0,,30,22,5,15,32,,,,,,,,,,,,,,,,
GEORGIA,26+,2014,506,561,390,81,3295,1304,1352,,,,,,,,,,,,,,,,,,,,,,,,,
GEORGIA,26+,2018,521,724,435,103,3460,1511,1286,13,185,10,35,215,136,34,289,384,,,,,,,,,,,,,,,,
GEORGIA,26+,2019,608,873,535,85,3544,1512,1245,22,179,11,40,227,124,35,298,384,,,,,,,,,,,,,,,,
GEORGIA,18-25,2017,224,331,203,49,561,347,258,40,61,4,7,72,67,10,87,128,,,,,,,,,,,,,,,,
GEORGIA,18-25,2013,,,,,,,,,,,,,,,,,20.15,27.51,18.13,3.4,52.86,30.67,30.09,,,,,,,,,
GEORGIA,18-25,2016,230,338,201,51,599,376,280,43,77,4,,78,64,10,97,137,,,,,,,,,,,,,,,,
GEORGIA,18+,2014,724,869,585,114,3891,1663,1653,,,,,,,,,,,,,,,,,,,,,,,,,
GEORGIA,18+,2018,761,1065,658,154,3988,1827,1510,53,246,14,42,292,218,45,377,526,,,,,,,,,,,,,,,,
GEORGIA,18+,2019,840,1212,751,123,4062,1816,1413,67,227,14,47,284,196,43,385,519,,,,,,,,,,,,,,,,
GEORGIA,26+,2017,431,572,325,96,3189,1380,1324,14,182,12,38,213,116,39,279,356,,,,,,,,,,,,,,,,
GEORGIA,26+,2013,,,,,,,,,,,,,,,,,7.64,8.41,5.93,1.71,50.92,19.62,22.25,,,,,,,,,
GEORGIA,26+,2016,493,617,351,106,3201,1404,1347,12,198,10,,237,126,46,265,356,,,,,,,,,,,,,,,,
GEORGIA,12+,2014,,,,,,,,,,,,,,,,,9.7,11.75,7.76,1.44,48.62,20.87,20.63,,,,,,,,,
GEORGIA,12+,2018,,,,,,,,,,,,,,,,,9.51,13.5,8.23,1.82,47.03,21.59,17.77,1.84,3.06,0.17,0.5,3.67,2.77,0.55,4.5,6.41
GEORGIA,12+,2019,,,,,,,,,,,,,,,,,10.29,15,9.2,1.43,47.24,21.19,16.4,1.98,2.79,0.16,0.55,3.52,2.5,0.52,4.55,6.28
GEORGIA,18+,2017,655,903,528,145,3750,1727,1582,55,243,16,45,284,183,49,366,484,,,,,,,,,,,,,,,,
GEORGIA,18+,2013,,,,,,,,,,,,,,,,,9.54,11.3,7.77,1.97,51.22,21.29,23.44,,,,,,,,,
GEORGIA,18+,2016,724,955,552,157,3800,1779,1627,55,275,14,,315,191,56,362,494,,,,,,,,,,,,,,,,
GEORGIA,17-Dec,2014,,,,,,,,,,,,,,,,,8.37,11.19,6.06,0.47,10.6,5.4,4.27,,,,,,,,,
GEORGIA,17-Dec,2018,,,,,,,,,,,,,,,,,6.89,11.61,6.05,0.34,8.34,4.28,2.72,5.3,2.07,0.03,0.19,2.82,2.47,0.33,1.33,3.2
GEORGIA,17-Dec,2019,,,,,,,,,,,,,,,,,6.8,11.22,6.04,0.25,7.26,3.99,2.21,4.93,1.91,0.02,0.14,2.6,2.53,0.37,1.36,3.45
GEORGIA,12+,2017,,,,,,,,,,,,,,,,,8.34,11.64,6.74,1.74,44.78,20.61,18.9,1.67,3.08,0.19,0.54,3.61,2.39,0.62,4.42,6
HAWAII,12+,2013,117,151,98,18,568,261,195,,,,,,,,,,,,,,,,,,,,,,,,,
GEORGIA,12+,2016,,,,,,,,,,,,,,,,,9.4,12.46,7.22,1.9,45.88,21.54,19.72,1.76,3.53,0.17,,4.1,2.54,0.72,4.48,6.25
GEORGIA,18-25,2014,,,,,,,,,,,,,,,,,19.7,27.78,17.64,2.96,53.79,32.39,27.22,,,,,,,,,
GEORGIA,18-25,2018,,,,,,,,,,,,,,,,,21.74,30.91,20.18,4.64,47.78,28.63,20.28,6.31,5.55,0.35,0.6,6.99,7.37,0.93,8.03,12.84
GEORGIA,18-25,2019,,,,,,,,,,,,,,,,,20.97,30.67,19.56,3.41,46.8,27.49,15.17,6.75,4.34,0.23,0.57,5.21,6.5,0.68,7.85,12.17
GEORGIA,17-Dec,2017,,,,,,,,,,,,,,,,,6.57,10.39,5.39,0.34,7.76,3.52,3.43,4.47,2.27,0.02,0.17,2.74,2.43,0.48,1.27,3.18
HAWAII,17-Dec,2013,11,15,9,1,11,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
GEORGIA,17-Dec,2016,,,,,,,,,,,,,,,,,7.88,10.9,6.4,0.36,6.9,3.83,3.73,4.62,2.55,0.03,,3.49,2.62,0.58,1.73,3.74
GEORGIA,26+,2014,,,,,,,,,,,,,,,,,8.1,8.99,6.24,1.3,52.8,20.9,21.66,,,,,,,,,
GEORGIA,26+,2018,,,,,,,,,,,,,,,,,7.82,10.86,6.53,1.54,51.94,22.68,19.31,0.35,2.77,0.15,0.53,3.22,2.04,0.52,4.33,5.77
GEORGIA,26+,2019,,,,,,,,,,,,,,,,,9,12.92,7.91,1.26,52.45,22.37,18.43,0.53,2.66,0.17,0.6,3.36,1.84,0.52,4.42,5.68
GEORGIA,18-25,2017,,,,,,,,,,,,,,,,,20.23,29.91,18.38,4.45,50.71,31.39,23.29,6.33,5.52,0.37,0.59,6.47,6.06,0.87,7.83,11.59
HAWAII,18-25,2013,32,44,26,6,80,55,37,,,,,,,,,,,,,,,,,,,,,,,,,
GEORGIA,18-25,2016,,,,,,,,,,,,,,,,,20.71,30.4,18.12,4.61,53.9,33.79,25.15,7.07,6.93,0.35,,6.98,5.8,0.87,8.76,12.36
GEORGIA,18+,2014,,,,,,,,,,,,,,,,,9.85,11.82,7.96,1.55,52.95,22.63,22.49,,,,,,,,,
GEORGIA,18+,2018,,,,,,,,,,,,,,,,,9.8,13.71,8.47,1.98,51.35,23.53,19.44,1.22,3.17,0.18,0.54,3.76,2.8,0.58,4.86,6.77
GEORGIA,18+,2019,,,,,,,,,,,,,,,,,10.68,15.42,9.55,1.56,51.65,23.09,17.97,1.46,2.89,0.18,0.59,3.62,2.49,0.54,4.9,6.6
GEORGIA,26+,2017,,,,,,,,,,,,,,,,,6.57,8.73,4.95,1.46,48.65,21.05,20.2,0.33,2.77,0.19,0.59,3.24,1.77,0.6,4.26,5.43
HAWAII,26+,2013,74,93,62,11,477,200,152,,,,,,,,,,,,,,,,,,,,,,,,,
GEORGIA,26+,2016,,,,,,,,,,,,,,,,,7.66,9.57,5.45,1.64,49.67,21.78,20.91,0.29,3.07,0.15,,3.68,1.96,0.71,4.11,5.53
HAWAII,12+,2014,110,144,90,18,566,279,195,,,,,,,,,,,,,,,,,,,,,,,,,
HAWAII,12+,2018,119,165,102,24,547,264,152,10,33,3,11,36,29,6,61,80,,,,,,,,,,,,,,,,
HAWAII,12+,2019,136,182,117,28,533,268,163,11,39,3,15,39,36,6,69,93,,,,,,,,,,,,,,,,
GEORGIA,18+,2017,,,,,,,,,,,,,,,,,8.54,11.78,6.89,1.89,48.94,22.54,20.64,1.18,3.17,0.21,0.59,3.71,2.39,0.64,4.78,6.32
HAWAII,18+,2013,106,137,88,18,557,255,189,,,,,,,,,,,,,,,,,,,,,,,,,
GEORGIA,18+,2016,,,,,,,,,,,,,,,,,9.58,12.64,7.31,2.08,50.3,23.55,21.53,1.25,3.64,0.18,,4.17,2.53,0.74,4.79,6.54
HAWAII,17-Dec,2014,9,13,7,0,11,6,4,,,,,,,,,,,,,,,,,,,,,,,,,
HAWAII,17-Dec,2018,6,11,5,0,7,4,2,4,2,0,0,2,3,0,2,4,,,,,,,,,,,,,,,,
HAWAII,17-Dec,2019,7,11,6,0,6,3,1,4,2,0,0,2,3,0,2,4,,,,,,,,,,,,,,,,
HAWAII,12+,2017,111,152,95,22,523,237,158,12,31,3,9,39,27,5,61,78,,,,,,,,,,,,,,,,
HAWAII,12+,2013,,,,,,,,,,,,,,,,,10.3,13.37,8.61,1.61,50.15,23.02,17.17,,,,,,,,,
HAWAII,12+,2016,119,151,95,23,509,239,172,12,37,3,,45,31,6,58,81,,,,,,,,,,,,,,,,
HAWAII,18-25,2014,26,38,22,6,83,59,37,,,,,,,,,,,,,,,,,,,,,,,,,
HAWAII,18-25,2018,23,35,21,7,69,44,25,5,8,0,1,7,8,1,14,19,,,,,,,,,,,,,,,,
HAWAII,18-25,2019,25,36,23,7,61,39,18,4,8,0,1,6,9,1,15,20,,,,,,,,,,,,,,,,
HAWAII,17-Dec,2017,7,11,6,1,8,4,3,4,2,0,0,3,3,1,2,4,,,,,,,,,,,,,,,,
HAWAII,17-Dec,2013,,,,,,,,,,,,,,,,,10.9,15.33,9.55,0.66,11.22,6.19,5.4,,,,,,,,,
HAWAII,17-Dec,2016,8,13,6,1,9,5,3,5,3,0,,3,3,0,2,4,,,,,,,,,,,,,,,,
HAWAII,26+,2014,75,92,60,11,472,215,154,,,,,,,,,,,,,,,,,,,,,,,,,
HAWAII,26+,2018,89,120,76,16,471,216,125,1,23,3,10,27,18,4,45,57,,,,,,,,,,,,,,,,
HAWAII,26+,2019,104,135,88,20,467,225,143,2,29,3,14,32,24,6,52,70,,,,,,,,,,,,,,,,
HAWAII,18-25,2017,25,35,22,7,71,44,29,5,8,1,1,8,8,1,14,20,,,,,,,,,,,,,,,,
HAWAII,18-25,2013,,,,,,,,,,,,,,,,,22.78,31.27,18.84,4.39,57.41,39.21,26.59,,,,,,,,,
HAWAII,18-25,2016,28,38,25,7,70,46,31,5,10,1,,10,10,1,13,20,,,,,,,,,,,,,,,,
HAWAII,18+,2014,101,130,83,17,556,273,191,,,,,,,,,,,,,,,,,,,,,,,,,
HAWAII,18+,2018,112,155,97,24,540,260,150,6,30,3,11,34,26,5,59,76,,,,,,,,,,,,,,,,
HAWAII,18+,2019,130,171,111,27,528,265,162,6,37,3,15,38,33,6,67,90,,,,,,,,,,,,,,,,
HAWAII,26+,2017,79,106,66,14,444,189,126,2,21,2,7,28,16,4,44,55,,,,,,,,,,,,,,,,
HAWAII,26+,2013,,,,,,,,,,,,,,,,,8.28,10.35,6.91,1.27,53.23,22.31,16.96,,,,,,,,,
HAWAII,26+,2016,83,100,63,15,430,188,138,2,24,2,,32,18,5,42,56,,,,,,,,,,,,,,,,
HAWAII,12+,2014,,,,,,,,,,,,,,,,,9.67,12.58,7.9,1.55,49.57,24.43,17.07,,,,,,,,,
HAWAII,12+,2018,,,,,,,,,,,,,,,,,10.26,14.29,8.8,2.1,47.23,22.79,13.11,2.02,2.82,0.27,0.96,3.13,2.49,0.49,5.27,6.88
HAWAII,12+,2019,,,,,,,,,,,,,,,,,11.81,15.77,10.12,2.41,46.13,23.17,14.1,2.06,3.41,0.26,1.3,3.41,3.11,0.56,5.93,8.06
HAWAII,18+,2017,104,141,88,21,515,233,155,7,29,3,8,36,24,5,59,75,,,,,,,,,,,,,,,,
HAWAII,18+,2013,,,,,,,,,,,,,,,,,10.24,13.19,8.52,1.7,53.8,24.6,18.27,,,,,,,,,
HAWAII,18+,2016,111,138,88,22,501,234,169,7,34,3,,42,28,6,56,77,,,,,,,,,,,,,,,,
HAWAII,17-Dec,2014,,,,,,,,,,,,,,,,,9.51,13.9,7.65,0.49,11.2,5.9,4.51,,,,,,,,,
HAWAII,17-Dec,2018,,,,,,,,,,,,,,,,,6.5,11.2,5.31,0.35,7.18,3.95,2.18,6.09,2.24,0.06,0.18,2.28,2.89,0.52,2.19,4.04
HAWAII,17-Dec,2019,,,,,,,,,,,,,,,,,7.09,11.92,6.29,0.43,5.97,3.41,1.52,5.7,2.09,0.02,0.07,1.85,2.86,0.33,1.77,3.75
HAWAII,12+,2017,,,,,,,,,,,,,,,,,9.6,13.14,8.17,1.88,45.13,20.44,13.62,1.93,2.67,0.24,0.75,3.32,2.31,0.47,5.23,6.77
IDAHO,12+,2013,89,127,72,15,625,254,275,,,,,,,,,,,,,,,,,,,,,,,,,
HAWAII,12+,2016,,,,,,,,,,,,,,,,,10.29,13.05,8.18,1.98,43.98,20.61,14.86,1.96,3.21,0.24,,3.87,2.67,0.53,5.01,6.99
HAWAII,18-25,2014,,,,,,,,,,,,,,,,,18.44,27.32,15.87,4.24,59.13,41.76,26.3,,,,,,,,,
HAWAII,18-25,2018,,,,,,,,,,,,,,,,,18.62,28.28,16.7,6.02,55.53,35.76,19.77,7.71,6.23,0.38,0.91,5.93,6.6,0.52,11.6,15.46
HAWAII,18-25,2019,,,,,,,,,,,,,,,,,20.89,29.57,18.77,6.12,50.13,32.35,15.27,6.53,7.03,0.18,0.93,4.95,7.56,0.54,12.45,16.58
HAWAII,17-Dec,2017,,,,,,,,,,,,,,,,,7.62,11.43,6.54,0.58,8.13,4.42,2.63,5.87,2.5,0.05,0.35,2.66,2.89,0.54,2.15,3.93
IDAHO,17-Dec,2013,11,18,8,1,16,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
HAWAII,17-Dec,2016,,,,,,,,,,,,,,,,,8.4,13.38,6.63,0.84,9.1,4.89,2.98,6.56,3.11,0.01,,3.16,3.25,0.43,2.35,4.28
HAWAII,26+,2014,,,,,,,,,,,,,,,,,8.31,10.13,6.68,1.24,52.2,23.71,16.97,,,,,,,,,
HAWAII,26+,2018,,,,,,,,,,,,,,,,,9.52,12.73,8.09,1.75,50.19,22.97,13.32,0.51,2.42,0.27,1.05,2.85,1.91,0.48,4.74,6.02
HAWAII,26+,2019,,,,,,,,,,,,,,,,,11.11,14.38,9.38,2.13,49.69,23.98,15.22,0.74,3.08,0.3,1.48,3.37,2.57,0.59,5.51,7.4
HAWAII,18-25,2017,,,,,,,,,,,,,,,,,19.26,27.14,17.45,5.22,55.13,34.09,22.95,8.87,6.17,0.56,0.94,6.27,6.57,0.58,11.26,15.37
IDAHO,18-25,2013,28,44,24,6,86,56,52,,,,,,,,,,,,,,,,,,,,,,,,,
HAWAII,18-25,2016,,,,,,,,,,,,,,,,,20.93,28.07,18.66,5.01,52.01,33.73,22.86,8.25,7.38,0.72,,7.01,7.54,0.84,9.86,14.98
HAWAII,18+,2014,,,,,,,,,,,,,,,,,9.68,12.46,7.92,1.65,53.13,26.15,18.24,,,,,,,,,
HAWAII,18+,2018,,,,,,,,,,,,,,,,,10.6,14.56,9.11,2.25,50.83,24.48,14.08,1.39,2.87,0.29,1.03,3.21,2.46,0.48,5.55,7.13
HAWAII,18+,2019,,,,,,,,,,,,,,,,,12.24,16.12,10.47,2.59,49.75,24.95,15.23,1.48,3.53,0.28,1.42,3.55,3.14,0.58,6.31,8.45
HAWAII,26+,2017,,,,,,,,,,,,,,,,,8.48,11.39,7.06,1.55,47.54,20.19,13.45,0.44,2.21,0.22,0.77,2.99,1.67,0.44,4.72,5.88
IDAHO,26+,2013,50,66,40,8,523,189,214,,,,,,,,,,,,,,,,,,,,,,,,,
HAWAII,26+,2016,,,,,,,,,,,,,,,,,8.92,10.82,6.81,1.65,46.44,20.32,14.92,0.42,2.61,0.2,,3.48,1.89,0.5,4.58,6.1
IDAHO,12+,2014,102,152,83,13,620,264,270,,,,,,,,,,,,,,,,,,,,,,,,,
IDAHO,12+,2018,134,196,117,19,644,308,245,15,38,4,11,64,35,12,78,105,,,,,,,,,,,,,,,,
IDAHO,12+,2019,148,205,125,20,677,324,228,17,39,4,12,60,39,9,79,107,,,,,,,,,,,,,,,,
HAWAII,18+,2017,,,,,,,,,,,,,,,,,9.78,13.29,8.31,1.99,48.46,21.88,14.61,1.36,2.69,0.26,0.79,3.38,2.26,0.46,5.51,7.03
IDAHO,18+,2013,78,110,64,14,609,244,266,,,,,,,,,,,,,,,,,,,,,,,,,
HAWAII,18+,2016,,,,,,,,,,,,,,,,,10.46,13.02,8.32,2.08,47.15,22.04,15.93,1.31,3.22,0.26,,3.93,2.61,0.54,5.25,7.23
IDAHO,17-Dec,2014,12,20,9,1,15,9,9,,,,,,,,,,,,,,,,,,,,,,,,,
IDAHO,17-Dec,2018,11,19,10,1,12,7,6,7,4,0,0,5,4,1,3,6,,,,,,,,,,,,,,,,
IDAHO,17-Dec,2019,12,19,9,1,12,7,4,8,3,0,0,4,5,1,3,7,,,,,,,,,,,,,,,,
IDAHO,12+,2017,125,175,106,19,646,302,253,16,42,5,12,59,36,11,82,108,,,,,,,,,,,,,,,,
IDAHO,12+,2013,,,,,,,,,,,,,,,,,6.84,9.82,5.53,1.12,48.19,19.59,21.23,,,,,,,,,
IDAHO,12+,2016,123,158,94,17,607,284,234,15,45,4,,69,38,12,75,104,,,,,,,,,,,,,,,,
IDAHO,18-25,2014,28,47,25,5,87,57,49,,,,,,,,,,,,,,,,,,,,,,,,,
IDAHO,18-25,2018,32,51,30,7,85,55,42,7,9,1,2,10,10,2,18,23,,,,,,,,,,,,,,,,
IDAHO,18-25,2019,37,53,33,7,91,57,32,7,10,1,2,10,12,1,19,25,,,,,,,,,,,,,,,,
IDAHO,17-Dec,2017,11,18,9,1,14,8,7,7,4,0,0,5,5,1,3,7,,,,,,,,,,,,,,,,
IDAHO,17-Dec,2013,,,,,,,,,,,,,,,,,7.56,12.53,5.61,0.49,11.27,6.95,6.76,,,,,,,,,
IDAHO,17-Dec,2016,12,17,8,1,13,7,7,6,4,0,,6,5,1,4,8,,,,,,,,,,,,,,,,
IDAHO,26+,2014,62,85,50,7,518,198,212,,,,,,,,,,,,,,,,,,,,,,,,,
IDAHO,26+,2018,91,126,78,11,547,247,197,1,25,3,9,48,21,9,57,75,,,,,,,,,,,,,,,,
IDAHO,26+,2019,100,133,82,12,574,260,191,3,26,4,9,46,22,7,58,75,,,,,,,,,,,,,,,,
IDAHO,18-25,2017,31,50,28,8,88,58,48,7,11,1,3,13,11,2,18,23,,,,,,,,,,,,,,,,
IDAHO,18-25,2013,,,,,,,,,,,,,,,,,16.03,25.18,14.05,3.34,49.53,32.09,30.22,,,,,,,,,
IDAHO,18-25,2016,31,44,26,7,84,56,43,7,12,1,,17,12,3,19,25,,,,,,,,,,,,,,,,
IDAHO,18+,2014,90,132,74,12,605,255,261,,,,,,,,,,,,,,,,,,,,,,,,,
IDAHO,18+,2018,123,177,107,19,632,301,239,8,34,4,11,58,31,11,75,99,,,,,,,,,,,,,,,,
IDAHO,18+,2019,136,186,116,19,664,316,223,10,35,4,11,55,34,8,76,100,,,,,,,,,,,,,,,,
IDAHO,26+,2017,83,107,68,10,544,236,199,2,27,3,9,41,21,8,60,78,,,,,,,,,,,,,,,,
IDAHO,26+,2013,,,,,,,,,,,,,,,,,5.13,6.74,4.03,0.83,53.22,19.21,21.73,,,,,,,,,
IDAHO,26+,2016,80,97,60,9,510,221,184,2,28,3,,46,21,8,53,71,,,,,,,,,,,,,,,,
IDAHO,12+,2014,,,,,,,,,,,,,,,,,7.77,11.58,6.34,0.96,47.12,20.03,20.52,,,,,,,,,
IDAHO,12+,2018,,,,,,,,,,,,,,,,,9.44,13.78,8.21,1.37,45.23,21.67,17.18,1.99,2.64,0.32,0.79,4.47,2.45,0.81,5.46,7.35
IDAHO,12+,2019,,,,,,,,,,,,,,,,,10.15,14.03,8.57,1.36,46.4,22.2,15.62,2.25,2.65,0.3,0.81,4.1,2.67,0.62,5.41,7.33
IDAHO,18+,2017,114,157,96,18,632,294,247,9,38,4,12,54,32,10,78,101,,,,,,,,,,,,,,,,
IDAHO,18+,2013,,,,,,,,,,,,,,,,,6.76,9.49,5.52,1.2,52.68,21.13,22.99,,,,,,,,,
IDAHO,18+,2016,111,141,86,16,594,277,227,9,41,4,,63,33,11,72,96,,,,,,,,,,,,,,,,
IDAHO,17-Dec,2014,,,,,,,,,,,,,,,,,8.36,14.14,6.39,0.44,10.79,6.1,6.03,,,,,,,,,
IDAHO,17-Dec,2018,,,,,,,,,,,,,,,,,7.45,12.29,6.28,0.55,7.84,4.83,3.75,5.47,2.41,0.06,0.24,3.51,2.82,0.5,1.75,3.97
IDAHO,17-Dec,2019,,,,,,,,,,,,,,,,,7.5,12.04,5.9,0.57,7.94,4.79,2.87,5.43,2.24,0.03,0.26,2.76,3.3,0.41,1.7,4.47
IDAHO,12+,2017,,,,,,,,,,,,,,,,,9.02,12.62,7.62,1.37,46.47,21.7,18.24,2.01,2.99,0.33,0.87,4.25,2.63,0.76,5.9,7.79
ILLINOIS,12+,2013,934,1247,744,183,5935,2845,2426,,,,,,,,,,,,,,,,,,,,,,,,,
IDAHO,12+,2016,,,,,,,,,,,,,,,,,9.02,11.62,6.93,1.26,44.62,20.87,17.17,1.8,3.31,0.33,,5.09,2.81,0.85,5.54,7.63
IDAHO,18-25,2014,,,,,,,,,,,,,,,,,16.2,26.98,14.28,3.11,50.04,32.89,28.44,,,,,,,,,
IDAHO,18-25,2018,,,,,,,,,,,,,,,,,17.49,28.29,16.49,3.96,47.11,30.19,22.99,6.4,4.86,0.51,1.26,5.64,5.33,0.96,9.92,12.86
IDAHO,18-25,2019,,,,,,,,,,,,,,,,,20.04,28.99,18.21,4.01,49.48,30.8,17.44,6.9,5.2,0.36,1.27,5.43,6.47,0.8,10.18,13.81
IDAHO,17-Dec,2017,,,,,,,,,,,,,,,,,7.67,12,6.34,0.66,9.07,5.07,4.35,4.68,2.59,0.06,0.33,3.45,3.1,0.58,2.31,4.65
ILLINOIS,17-Dec,2013,85,132,65,5,129,71,62,,,,,,,,,,,,,,,,,,,,,,,,,
IDAHO,17-Dec,2016,,,,,,,,,,,,,,,,,7.94,11.73,5.77,0.83,8.93,4.95,4.49,4.2,2.95,0.09,,4.08,3.46,0.57,2.56,5.39
IDAHO,26+,2014,,,,,,,,,,,,,,,,,6.23,8.55,4.96,0.66,51.8,19.79,21.21,,,,,,,,,
IDAHO,26+,2018,,,,,,,,,,,,,,,,,8.38,11.58,7.11,1.05,50.17,22.62,18.11,0.32,2.3,0.32,0.79,4.41,1.92,0.83,5.24,6.91
IDAHO,26+,2019,,,,,,,,,,,,,,,,,8.9,11.85,7.36,1.04,51.24,23.22,17.1,0.6,2.28,0.33,0.81,4.07,1.96,0.62,5.15,6.67
IDAHO,18-25,2017,,,,,,,,,,,,,,,,,17.59,28.4,16.07,4.24,49.44,32.82,27.15,7.18,5.99,0.58,1.57,7.2,5.94,1.07,10.39,13.18
ILLINOIS,18-25,2013,311,438,280,54,891,615,462,,,,,,,,,,,,,,,,,,,,,,,,,
IDAHO,18-25,2016,,,,,,,,,,,,,,,,,17.63,25.36,14.7,3.84,47.92,31.87,24.66,6.28,7.11,0.64,,9.77,6.79,1.45,10.7,14.23
IDAHO,18+,2014,,,,,,,,,,,,,,,,,7.7,11.27,6.34,1.02,51.54,21.72,22.28,,,,,,,,,
IDAHO,18+,2018,,,,,,,,,,,,,,,,,9.68,13.96,8.45,1.46,49.73,23.69,18.8,1.27,2.67,0.35,0.86,4.58,2.41,0.85,5.91,7.76
IDAHO,18+,2019,,,,,,,,,,,,,,,,,10.47,14.27,8.89,1.46,50.99,24.28,17.15,1.59,2.7,0.33,0.88,4.26,2.6,0.65,5.86,7.67
IDAHO,26+,2017,,,,,,,,,,,,,,,,,7.79,10.09,6.4,0.99,51.25,22.2,18.72,0.42,2.55,0.32,0.83,3.87,2.01,0.74,5.65,7.34
ILLINOIS,26+,2013,538,677,398,124,4915,2158,1902,,,,,,,,,,,,,,,,,,,,,,,,,
IDAHO,26+,2016,,,,,,,,,,,,,,,,,7.72,9.3,5.79,0.88,49.13,21.28,17.71,0.39,2.72,0.31,,4.45,2.05,0.79,5.09,6.83
ILLINOIS,12+,2014,1024,1305,819,184,5959,2831,2358,,,,,,,,,,,,,,,,,,,,,,,,,
ILLINOIS,12+,2018,1179,1635,1033,239,5992,2989,1786,127,348,26,38,336,303,51,644,833,,,,,,,,,,,,,,,,
ILLINOIS,12+,2019,1284,1748,1107,224,5907,2869,1736,131,341,26,41,304,326,47,590,819,,,,,,,,,,,,,,,,
IDAHO,18+,2017,,,,,,,,,,,,,,,,,9.19,12.7,7.78,1.45,50.99,23.71,19.92,1.46,3.04,0.36,0.94,4.34,2.57,0.79,6.33,8.18
ILLINOIS,18+,2013,849,1115,678,178,5806,2773,2364,,,,,,,,,,,,,,,,,,,,,,,,,
IDAHO,18+,2016,,,,,,,,,,,,,,,,,9.15,11.61,7.07,1.31,48.95,22.81,18.71,1.31,3.35,0.35,,5.21,2.73,0.88,5.9,7.9
ILLINOIS,17-Dec,2014,88,125,70,6,114,57,51,,,,,,,,,,,,,,,,,,,,,,,,,
ILLINOIS,17-Dec,2018,82,139,68,5,98,53,23,53,24,0,1,24,28,4,19,40,,,,,,,,,,,,,,,,
ILLINOIS,17-Dec,2019,82,133,69,4,84,43,18,51,21,0,1,21,34,4,15,42,,,,,,,,,,,,,,,,
ILLINOIS,12+,2017,1076,1482,944,208,5842,2949,1948,124,342,27,30,396,278,62,669,855,,,,,,,,,,,,,,,,
ILLINOIS,12+,2013,,,,,,,,,,,,,,,,,8.73,11.66,6.95,1.71,55.48,26.59,22.68,,,,,,,,,
ILLINOIS,12+,2016,997,1320,847,186,5726,2814,2009,114,348,27,,435,277,68,601,810,,,,,,,,,,,,,,,,
ILLINOIS,18-25,2014,314,434,274,63,857,571,441,,,,,,,,,,,,,,,,,,,,,,,,,
ILLINOIS,18-25,2018,326,465,301,81,769,520,257,55,97,6,4,77,106,10,152,214,,,,,,,,,,,,,,,,
ILLINOIS,18-25,2019,308,445,284,62,734,452,212,53,73,4,4,60,103,7,129,193,,,,,,,,,,,,,,,,
ILLINOIS,17-Dec,2017,84,134,69,5,104,58,31,50,24,0,1,33,30,6,24,47,,,,,,,,,,,,,,,,
ILLINOIS,17-Dec,2013,,,,,,,,,,,,,,,,,8.14,12.61,6.26,0.46,12.37,6.82,5.89,,,,,,,,,
ILLINOIS,17-Dec,2016,82,121,68,5,98,60,40,45,26,0,,41,33,7,23,53,,,,,,,,,,,,,,,,
ILLINOIS,26+,2014,622,746,476,116,4988,2202,1866,,,,,,,,,,,,,,,,,,,,,,,,,
ILLINOIS,26+,2018,770,1031,664,153,5125,2416,1506,19,227,19,33,235,168,37,473,578,,,,,,,,,,,,,,,,
ILLINOIS,26+,2019,895,1170,754,158,5089,2374,1506,27,247,22,36,222,189,36,445,584,,,,,,,,,,,,,,,,
ILLINOIS,18-25,2017,348,477,318,79,807,581,319,58,124,6,5,96,92,11,164,217,,,,,,,,,,,,,,,,
ILLINOIS,18-25,2013,,,,,,,,,,,,,,,,,22.28,31.43,20.07,3.86,63.9,44.13,33.13,,,,,,,,,
ILLINOIS,18-25,2016,321,447,287,68,834,591,363,56,118,7,,113,88,11,150,203,,,,,,,,,,,,,,,,
ILLINOIS,18+,2014,935,1180,750,179,5846,2774,2307,,,,,,,,,,,,,,,,,,,,,,,,,
ILLINOIS,18+,2018,1097,1496,964,234,5894,2936,1763,74,324,25,37,312,275,47,624,793,,,,,,,,,,,,,,,,
ILLINOIS,18+,2019,1203,1615,1038,220,5822,2826,1717,80,320,26,40,282,292,43,575,777,,,,,,,,,,,,,,,,
